"Compound name","Smiles","logkp (cm/s)","skin donor type","skin source site","used layer","skin preparation","storage temperature (°C)","storage duration (days)","neat","donor/skin surface temperature (°C)","donor pH","donor type","acceptor temperature (°C)","acceptor pH","acceptor type","cell type","flux","notes","reference","DOI"
"Fentanyl","CCC(=O)N(c1ccccc1)C1CCN(CC1)CCc1ccccc1","-5.503","Cadaver","abdomen, thigh","epidermis","heat separation","-20","","0","37","7.4","Potassium phosphate buffer","37","7.4","","","","","Roy, 1990","10.1023/A:1015912932416"
"Fentanyl","CCC(=O)N(c1ccccc1)C1CCN(CC1)CCc1ccccc1","-7.079","Cadaver","thigh","epidermis, dermis","dermatomed","-20","","0","37","2.88","Citrate-phosphate buffer","37","7.4","","","","","Roy, 1990","10.1023/A:1015912932416"
"Fentanyl","CCC(=O)N(c1ccccc1)C1CCN(CC1)CCc1ccccc1","-6.442","Cadaver","thigh","epidermis, dermis","dermatomed","-20","","0","37","5.08","Citrate-phosphate buffer","37","7.4","","","","","Roy, 1990","10.1023/A:1015912932416"
"Fentanyl","CCC(=O)N(c1ccccc1)C1CCN(CC1)CCc1ccccc1","-5.849","Cadaver","thigh","epidermis, dermis","dermatomed","-20","","0","37","6.02","Citrate-phosphate buffer","37","7.4","","","","","Roy, 1990","10.1023/A:1015912932416"
"Fentanyl","CCC(=O)N(c1ccccc1)C1CCN(CC1)CCc1ccccc1","-5.705","Cadaver","thigh","epidermis, dermis","dermatomed","-20","","0","37","6.95","Citrate-phosphate buffer","37","7.4","","","","","Roy, 1990","10.1023/A:1015912932416"
"Fentanyl","CCC(=O)N(c1ccccc1)C1CCN(CC1)CCc1ccccc1","-5.452","Cadaver","thigh","epidermis, dermis","dermatomed","-20","","0","37","7.43","Potassium phosphate buffer","37","7.4","","","","","Roy, 1990","10.1023/A:1015912932416"
"Fentanyl","CCC(=O)N(c1ccccc1)C1CCN(CC1)CCc1ccccc1","-5.206","Cadaver","thigh","epidermis, dermis","dermatomed","-20","","0","37","7.95","Potassium phosphate buffer","37","7.4","","","","","Roy, 1990","10.1023/A:1015912932416"
"Fentanyl","CCC(=O)N(c1ccccc1)C1CCN(CC1)CCc1ccccc1","-5.115","Cadaver","thigh","epidermis, dermis","dermatomed","-20","","0","37","8.52","Potassium phosphate buffer","37","7.4","","","","","Roy, 1990","10.1023/A:1015912932416"
"Fentanyl","CCC(=O)N(c1ccccc1)C1CCN(CC1)CCc1ccccc1","-5.013","Cadaver","thigh","epidermis, dermis","dermatomed","-20","","0","37","9.04","Potassium phosphate buffer","37","7.4","","","","","Roy, 1990","10.1023/A:1015912932416"
"Fentanyl","CCC(=O)N(c1ccccc1)C1CCN(CC1)CCc1ccccc1","-5.039","Cadaver","thigh","epidermis, dermis","dermatomed","-20","","0","37","9.37","Potassium phosphate buffer","37","7.4","","","","","Roy, 1990","10.1023/A:1015912932416"
